sector,entityid,entityName,plantName,plantid,balancing_authority_code,balancing.authority.name,status,county,nameplate.capacity.mw,operating.year.month,geometry,intersection,geoid
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,61012,AES Distributed Energy,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-112|33.638333,1257,04013103303
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
ipp-non-chp,58863,Main Street Power,Paradise Valley H.S. PV,58293,AZPS,Arizona Public Service Company,OP,maricopa,1.3,2013-01,-111.9997|33.6416,962,04013619600
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
