sector,entityid,entityName,plantName,plantid,balancing_authority_code,balancing.authority.name,status,county,nameplate.capacity.mw,operating.year.month,geometry,intersection,geoid
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport East Economy Lot,58708,AZPS,Arizona Public Service Company,OP,maricopa,1.1,2012-12,-111.9842|33.4345,1332,04013113802
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-112.04484|33.43042,532,04013117200
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
commercial-non-chp,58649,Solar Star Arizona II LLC,Phoenix Airport Rental Car Center,58709,AZPS,Arizona Public Service Company,OP,maricopa,1.6,2012-12,-111.98|33.45,651,04013113801
